material_id_a,material_id_b,label
7,17,0
6,8,1
7,8,1
8,12,0
9,11,1
1,15,0
5,6,2
1,4,1
2,15,0
10,19,0
9,24,0
1,24,0
20,24,0
14,15,1
5,24,0
1,3,1
9,17,0
5,8,2
3,10,0
19,20,1
9,19,0
2,14,0
15,24,0
4,9,0
4,5,1
12,22,0
4,22,0
10,12,1
5,7,2
1,5,1
4,7,2
9,23,0
6,18,0
12,19,0
8,11,0
5,23,0
2,7,2
3,9,0
8,18,0
15,21,0
12,15,0
22,23,1
6,11,0
11,12,1
3,11,0
2,19,0
5,10,0
16,17,1
11,18,0
8,19,0
1,7,2
9,10,1
2,6,2
4,11,0
4,16,0
4,12,0
3,8,2
22,24,1
11,22,0
2,3,1
11,19,0
15,20,0
19,22,0
18,23,0
17,19,0
3,7,2
10,11,1
11,20,0
11,14,0
8,17,0
10,17,0
19,21,1
1,8,2
17,20,0
2,17,0
2,24,0
3,14,0
1,18,0
5,11,0
11,17,0
2,4,1
20,22,0
2,20,0
1,6,2
8,9,0
5,15,0
1,14,0
23,24,1
21,23,0
16,19,0
6,17,0
3,5,1
16,18,1
6,7,1
7,23,0
4,21,0
13,15,1
14,18,0
19,23,0
16,24,0
1,13,0
2,5,1
1,12,0
4,6,2
3,19,0
10,21,0
15,16,0
6,15,0
1,10,0
3,4,1
20,21,1
3,6,2
17,18,1
13,14,1
13,24,0
6,20,0
11,13,0
4,13,0
21,24,0
8,21,0
3,21,0
6,13,0
2,8,2
7,19,0
8,20,0
6,14,0
4,18,0
6,24,0
8,10,0
1,2,1
18,19,0
13,23,0
9,12,1
5,18,0
20,23,0
12,21,0
8,22,0
7,16,0
4,8,2
